id,latitude,longitude
29075,-22.8137202,-43.2686108
44054,-23.4835352,-46.4102656
18211,-22.7784279,-43.4373551
1662,-20.3571454,-40.345162
20093,-22.8555156,-43.2430798
43957,-20.333475,-40.2852183
44055,-20.281926,-40.3296058
33098,-21.1831383,-47.803055
43029,-20.23687,-41.5089562
30056,-20.2719566,-40.4155588
27222,-20.295415,-40.2907283
2328,-20.3187628,-40.3028459
10036,-20.194574,-40.2486408
34913,-20.1156862,-40.3086221
33483,-23.6058275,-46.7468886
3315,-20.3314146,-40.2789558
36326,-1.4404776,-48.4643672
43912,-20.1455891,-40.2602502
43217,-22.8877095,-47.1993167
31446,-3.7309241,-38.5135208
6447,-20.1560681,-40.2156103
43421,-22.8887864,-47.0542849
41235,-23.5555154,-46.6445737
20260,-22.9980203,-43.3587769
28554,-20.3150566,-40.3095201
26686,-22.8818943,-43.3602472
36018,-20.0518,-40.1908483
35191,-19.9361329,-44.1781659
41022,-5.8536357,-35.2022251
42840,-23.5915108,-46.7711704
7361,-20.2689536,-40.2912444
40804,-20.2318906,-40.2385727
41723,-22.8554285,-47.0353792
14954,-20.301532,-40.305424
42801,-20.2020102,-40.2738145
27254,-23.4911137,-46.4600484
43716,-23.6737359,-46.6218104
2299,-20.3119354,-40.2937008
7488,-20.3487598,-40.3221216
43785,-5.838393,-35.2109637
42372,-23.6180443,-46.6791752
31374,-20.356315,-40.3027
28522,-20.3728182,-40.431993
34158,-16.3232176,-48.9580138
9248,-20.1089429,-40.3256215
21592,-20.3185772,-40.3078326
43183,-23.6713753,-46.519387
30296,-20.3233533,-40.354425
25821,-5.829801,-35.253783
23156,-20.1988959,-40.2563266
24479,-20.1236498,-40.2754023
19197,-23.4923283,-46.6831767
16525,-20.3666452,-40.3137864
42033,-20.1579568,-40.1849467
44425,-22.8472152,-47.2073206
10250,-23.5244711,-46.751606
3947,-20.3220602,-40.38782
10266,-20.3101843,-40.2923786
41870,-23.5587758,-46.3577057
40846,-20.3383976,-40.40098
27302,-8.0778563,-34.9359172
1664,-20.3330992,-40.3363019
15496,-19.9860135,-43.9651104
28169,-23.6219867,-46.6129217
29028,-20.2411468,-40.2722687
43600,-23.4278266,-46.4339788
25543,-20.2466402,-40.2670708
29997,-20.1966126,-40.2345827
894,-20.2550063,-40.2696947
30911,-21.191244,-47.8266948
20992,-3.7241308,-38.5490781
41704,-22.9963704,-43.3045711
32268,-20.1980245,-40.2588393
23756,-20.3676533,-40.305361
43277,-20.4235015,-40.3282148
19211,-22.9016299,-43.2811818
24694,-22.9157432,-43.0868476
43440,-21.1990282,-47.8377106
41710,-20.3358072,-40.3094051
23844,-20.3822187,-40.3101736
32342,-3.7324333,-38.5055417
11267,-20.3349483,-40.2867483
22065,-22.9020662,-47.0952503
34610,-12.3522787,-38.8736777
42922,-8.0491893,-34.9219505
30489,-3.8834818,-38.609391
13681,-20.1761904,-40.2016764
25172,-20.2975621,-40.2928566
21866,-22.5159781,-43.1707563
1843,-20.2766675,-40.3292398
18480,-23.5603433,-46.6821745
34310,-22.9460743,-47.0269836
8622,-20.2846825,-40.2917067
5868,-15.7879201,-47.8734915
37323,-20.2598654,-40.3026789
41644,-5.8519288,-35.2045695
37645,-3.7268581,-38.603238
31280,-3.7424267,-38.4896317
42163,-20.8790407,-49.3723812
42871,-7.9343733,-34.8633633
25816,-20.0203793,-44.0447607
43191,-19.8281219,-40.3626032
41119,-23.6798211,-46.5464241
32322,-22.9906242,-43.4316428
34224,-20.2032553,-40.2447087
3333,-20.380985,-40.3666067
34988,-20.289143,-40.309386
15666,-19.8111258,-44.0075267
21980,-29.9282877,-51.0488246
22983,-20.2900078,-40.3783496
43801,-19.5346212,-40.6268735
4611,-20.2175964,-40.2600777
18536,-22.9985942,-43.3614379
32164,-20.166955,-40.2711883
26938,-23.0136797,-43.3060795
42818,-22.89741,-47.06492
14261,-20.3687331,-40.3785216
2843,-20.3542267,-40.3736209
42472,-23.5426417,-46.682235
22079,-29.9062107,-51.2274625
17187,-19.9270485,-43.9334418
30579,-19.8921306,-43.9990922
6351,-20.2807404,-40.2944135
24721,-16.654128,-49.3308532
16832,-22.9046709,-43.5398046
42384,-23.7499293,-46.6667361
20374,-20.1729045,-40.2175368
41181,-23.556928,-46.8534514
19695,-20.2507427,-40.2675185
37535,-20.3205067,-40.3388667
35224,-20.1649678,-40.1965816
